Date,Temperature,Holiday
20190401,18.2851516,0
20190402,20.92403047,0
20190403,21.62178541,0
20190404,23.34023287,2
20190405,22.52781625,2
20190406,23.54274791,2
20190407,25.10928384,2
20190409,23.166821,0
20190410,25.837685,0
20190411,25.982586,0
20190413,22.7702989,2
20190414,23.87639516,2
20190415,21.7780521,0
20190416,20.69304423,0
20190417,23.31330717,0
20200330,21.47267292,0
20200331,22.55064209,0
20200401,20.37938976,0
20200402,20.20923012,2
20200403,21.05444228,2
20200404,19.82245163,2
20200405,18.89282674,2
20200407,18.821129,0
20200408,19.94576,0
20200409,21.506236,0
20200411,21.62526424,2
20200412,17.61147843,2
20200413,18.00770317,0
20200414,20.54962212,0
20200415,21.87280134,0
20210330,18.5960712,0
20210331,20.20234053,0
20210401,23.27706841,0
20210402,24.28061103,2
20210403,24.08667623,2
20210404,21.80322998,2
20210405,22.02747648,2
20210407,22.813566,0
20210408,22.842653,0
20210409,23.042958,0
20210410,24.49867549,2
20210411,25.45755437,2
20210412,26.2963186,0
20210413,25.0922026,0
20210414,25.05720258,0
20220330,20.54962212,0
20220331,21.87280134,0
20220401,18.5960712,0
20220402,20.20234053,2
20220403,23.27706841,2
20220404,23.34023287,2
20220405,22.52781625,2
20220406,23.54274791,0
20220407,25.10928384,0
20220408,23.166821,0
20220409,25.837685,2
20220410,25.982586,2
20220411,22.7702989,0
20220412,23.87639516,0
20220413,25.837685,0
